instance,k,judicious,naive
59s,2,38,240
59s,4,126,673
59s,8,220,1520
59s,12,337,2291
59s,16,474,3051
59s,24,787,4148
59s,32,1160,5045
59s,48,1210,6083
59s,64,1210,6740
59s,96,1210,7606
59s,128,1210,7896
59s,160,1210,8449
59s,200,1210,8449
59s,256,1210,8449
59s,384,1210,8449
59s,512,1210,8449
59s,768,1210,8449
59s,1024,1210,8449
59s,1536,1210,8449
59s,2048,1210,8449
59s,3072,1210,8449
59s,4096,1210,8449
59s,8192,1210,8449
404s,2,669,996
404s,4,1656,2759
404s,8,3170,6148
404s,12,4672,9523
404s,16,6148,12870
404s,24,9113,19460
404s,32,11969,26165
404s,48,18010,38632
404s,64,24020,50203
404s,96,35833,68922
404s,128,41293,83492
404s,160,41293,96015
404s,200,41293,112802
404s,256,41293,132635
404s,384,41293,172563
404s,512,41293,210721
404s,768,41293,233851
404s,1024,41293,233851
404s,1536,41293,233851
404s,2048,41293,233851
404s,3072,41293,233851
404s,4096,41293,233851
404s,8192,41293,233851
128s,2,100,397
128s,4,411,1075
128s,8,846,2484
128s,12,1274,3851
128s,16,1710,5153
128s,24,2595,7052
128s,32,3417,8566
128s,48,5215,11215
128s,64,6991,13299
128s,96,8910,16641
128s,128,8910,18972
128s,160,8910,21083
128s,200,8910,24201
128s,256,8910,24534
128s,384,8910,24534
128s,512,8910,24534
128s,768,8910,24534
128s,1024,8910,24534
128s,1536,8910,24534
128s,2048,8910,24534
128s,3072,8910,24534
128s,4096,8910,24534
128s,8192,8910,24534
59l,2,373,959
59l,4,1006,2250
59l,8,1851,3823
59l,12,2373,5112
59l,16,2756,6151
59l,24,3456,8283
59l,32,4042,10029
59l,48,5045,13764
59l,64,5894,17134
59l,96,7341,23266
59l,128,8634,29345
59l,160,9805,34846
59l,200,11264,40714
59l,256,13302,48198
59l,384,18228,60860
59l,512,23420,70330
59l,768,34640,83598
59l,1024,44319,91682
59l,1536,44319,102298
59l,2048,44319,111218
59l,3072,44319,114226
59l,4096,44319,114226
59l,8192,44319,114226
404l,2,1948,2920
404l,4,5253,7889
404l,8,9756,14352
404l,12,12571,20180
404l,16,15487,25231
404l,24,20418,34859
404l,32,24529,44727
404l,48,32057,62410
404l,64,38987,79786
404l,96,51748,113360
404l,128,63325,144892
404l,160,74563,174314
404l,200,88332,204901
404l,256,107240,243947
404l,384,151341,318883
404l,512,195759,377883
404l,768,286909,477351
404l,1024,380015,557706
404l,1536,543860,680805
404l,2048,543860,802466
404l,3072,543860,828074
404l,4096,543860,828074
404l,8192,543860,828074
128l,2,1215,2370
128l,4,3376,5721
128l,8,6654,10578
128l,12,9506,14514
128l,16,11900,17695
128l,24,15243,23213
128l,32,18167,27949
128l,48,22932,36387
128l,64,26759,44117
128l,96,33095,58105
128l,128,38462,71094
128l,160,43296,83645
128l,200,48668,97136
128l,256,55742,114726
128l,384,69879,148296
128l,512,83164,175091
128l,768,109042,211171
128l,1024,134765,237183
128l,1536,187210,276936
128l,2048,241785,301207
128l,3072,315712,345940
128l,4096,315712,345940
128l,8192,315712,345940
sm_part24_11756,2,11491,30031
sm_part24_11756,4,27979,67555
sm_part24_11756,8,55818,113704
sm_part24_11756,12,76244,145961
sm_part24_11756,16,93617,170970
sm_part24_11756,24,120659,210494
sm_part24_11756,32,140803,240552
sm_part24_11756,48,171328,287547
sm_part24_11756,64,194024,323078
sm_part24_11756,96,232824,377325
sm_part24_11756,128,263622,418826
sm_part24_11756,160,288557,451606
sm_part24_11756,200,313682,486599
sm_part24_11756,256,342946,524958
sm_part24_11756,384,393920,590988
sm_part24_11756,512,431789,639120
sm_part24_11756,768,488549,709412
sm_part24_11756,1024,532801,760111
sm_part24_11756,1536,603232,838820
sm_part24_11756,2048,663041,899291
sm_part24_11756,3072,767678,1001011
sm_part24_11756,4096,864765,1086005
sm_part24_11756,8192,1231709,1353655
sm_part12_20753,2,10969,42766
sm_part12_20753,4,22921,94976
sm_part12_20753,8,55670,158953
sm_part12_20753,12,82610,203433
sm_part12_20753,16,104329,237354
sm_part12_20753,24,139011,290442
sm_part12_20753,32,164516,331457
sm_part12_20753,48,205998,393870
sm_part12_20753,64,238066,442242
sm_part12_20753,96,287166,515715
sm_part12_20753,128,324178,571883
sm_part12_20753,160,354187,616783
sm_part12_20753,200,385674,664958
sm_part12_20753,256,422347,721407
sm_part12_20753,384,487271,818286
sm_part12_20753,512,537518,891930
sm_part12_20753,768,615229,1002317
sm_part12_20753,1024,676365,1086413
sm_part12_20753,1536,774707,1214294
sm_part12_20753,2048,855874,1317867
sm_part12_20753,3072,990090,1479420
sm_part12_20753,4096,1105079,1611886
sm_part12_20753,8192,1507422,1996075
sm_part3_31854,2,5503,50382
sm_part3_31854,4,15233,111963
sm_part3_31854,8,54400,186413
sm_part3_31854,12,81621,237901
sm_part3_31854,16,105775,277667
sm_part3_31854,24,144920,339278
sm_part3_31854,32,175412,387040
sm_part3_31854,48,220429,459687
sm_part3_31854,64,256700,515713
sm_part3_31854,96,313602,601995
sm_part3_31854,128,356337,667304
sm_part3_31854,160,390032,720251
sm_part3_31854,200,427267,777551
sm_part3_31854,256,468894,845666
sm_part3_31854,384,542358,966323
sm_part3_31854,512,598686,1059297
sm_part3_31854,768,687396,1200760
sm_part3_31854,1024,757228,1310172
sm_part3_31854,1536,868902,1485393
sm_part3_31854,2048,962845,1626286
sm_part3_31854,3072,1119456,1856737
sm_part3_31854,4096,1254338,2053780
sm_part3_31854,8192,1704293,2627914
sm_part1_170859,2,3731,66050
sm_part1_170859,4,9072,146703
sm_part1_170859,8,56934,248245
sm_part1_170859,12,93649,317569
sm_part1_170859,16,123371,372223
sm_part1_170859,24,170451,457425
sm_part1_170859,32,208624,520543
sm_part1_170859,48,265404,622465
sm_part1_170859,64,311678,699004
sm_part1_170859,96,381763,817343
sm_part1_170859,128,435074,908001
sm_part1_170859,160,476787,983814
sm_part1_170859,200,521054,1066535
sm_part1_170859,256,572790,1163462
sm_part1_170859,384,665011,1345858
sm_part1_170859,512,737292,1491465
sm_part1_170859,768,850588,1731405
sm_part1_170859,1024,940423,1928945
sm_part1_170859,1536,1087539,2257838
sm_part1_170859,2048,1209222,2549800
sm_part1_170859,3072,1415286,3049931
sm_part1_170859,4096,1590099,3505965
sm_part1_170859,8192,2155280,5082920
