instance,k,rdda,hybrid,lowerBound
59,2,19224,18190,17819
59,4,9958,9798,8909
59,8,5836,5308,4454
59,12,4561,4271,2969
59,16,3636,3194,2227
59,24,2717,2218,1484
59,32,2299,1796,1113
59,48,1706,1442,742
59,64,1369,1331,556
59,96,1061,963,371
59,128,984,852,278
59,160,819,655,222
59,200,747,642,178
59,256,673,685,139
59,384,518,507,92
59,512,443,516,69
59,768,388,357,57
59,1024,379,345,57
59,1536,333,237,57
59,2048,306,165,57
59,3072,254,114,57
59,4096,231,114,57
59,8192,159,58,57
404,2,111127,109549,106224
404,4,61835,56298,53112
404,8,34345,31782,26556
404,12,28448,22747,17704
404,16,21743,18591,13278
404,24,14898,12804,8852
404,32,11953,10851,6639
404,48,10251,8435,4426
404,64,7315,6661,3319
404,96,6146,5334,2213
404,128,5228,4906,1659
404,160,4802,4180,1327
404,200,4093,4316,1062
404,256,3610,3605,829
404,384,3036,3518,553
404,512,2484,2781,414
404,768,2132,2863,402
404,1024,1869,2592,402
404,1536,1590,1964,402
404,2048,1576,1904,402
404,3072,1316,1347,402
404,4096,1549,1301,402
404,8192,936,1006,402
128,2,170006,167813,166027
128,4,86282,85454,83013
128,8,45034,44849,41506
128,12,32118,30409,27671
128,16,25027,24116,20753
128,24,17907,17494,13835
128,32,14111,13991,10376
128,48,10923,9932,6917
128,64,9001,8088,5188
128,96,6869,6820,3458
128,128,5877,5534,2594
128,160,5277,4746,2075
128,200,4139,4089,1660
128,256,3797,3698,1297
128,384,2842,2740,864
128,512,2525,2326,648
128,768,1837,1988,432
128,1024,1560,1763,324
128,1536,1339,1414,216
128,2048,1196,1238,162
128,3072,943,1212,126
128,4096,898,901,126
128,8192,586,651,126
